Vármegye,Település neve,Útszám,Kilométer-szelvény/utca,GPS koordináta szélesség,GPS koordináta hosszúság
Nógrád,Szécsény,,2239+343,48.081845,19.508629
Nógrád,Szendehely-Katalinpuszta,,243+714,47.842803,19.098315

Somogy,Balatonboglár,,7142+400,46.779576,17.656638
Somogy,Balatonföldvár,,7 Budapesti út 35.,46.850996,17.882997
Somogy,Balatonszárszó,,7 Kossuth Lajos utca,46.827571,17.838918
Somogy,Kaposvár,,6105+335,46.362245,17.816792
Somogy,Kaposvár,,6739+673,46.368391,17.782562
Somogy,Kaposvár,,6505 Guba Sándor utca 40.,46.385048,17.826456
Somogy,Kaposvár,,Kaposfüredi út 221.,46.417870,17.776920
Somogy,Kaposvár,,Kaposfüredi út 52.,46.405270,17.779450
Somogy,Kéthely,,6889+652,46.653269,17.391557
Somogy,Kőröshegy,,6505 Kaposvári utca,46.822291,17.905395
Somogy,Kőröshegy,,6505 Petőfi Sándor utca,46.831326,17.900646
Somogy,Ságvár,,6575+726,46.834879,18.102801
Somogy,Siófok,,Bajcsy-Zsilinszky u. 172.,46.908190,18.069690
Somogy,Somogytúr,,67 Táncsics Mihály utca,46.725474,17.776026
Somogy,Visz,,6781+007,46.726204,17.776029

Szabolcs-Szatmár-Bereg,Levelek,,József Attila u. 64.,47.973230,21.978480
Szabolcs-Szatmár-Bereg,Mátészalka,,4916+736,47.959892,22.315211
Szabolcs-Szatmár-Bereg,Nyíregyháza,,Szegfű u. 14-2.,47.957650,21.721750
Szabolcs-Szatmár-Bereg,Nyíregyháza,,M3 228+775,47.886787,21.738176
Szabolcs-Szatmár-Bereg,Nyíregyháza,,M3 228+801,47.886833,21.738517
Szabolcs-Szatmár-Bereg,Nyíregyháza,,411+798,47.951864,21.740634
Szabolcs-Szatmár-Bereg,Nyíregyháza,,4276+064,47.962746,21.725054
Szabolcs-Szatmár-Bereg,Nyíregyháza,,4276+149,47.963178,21.724998
Szabolcs-Szatmár-Bereg,Újfehértó,,Nyíregyházi út 78.,47.820591,21.698915

Tolna,Bogyiszló,,M9 14+539,46.366357,18.888244
Tolna,Bonyhád,,6157+383,46.296844,18.538947
Tolna,Dombóvár,,6110+491,46.378805,18.130994
Tolna,Dunaföldvár,,688+425,46.801952,18.917606
Tolna,Hőgyész,,6526+875,46.498706,18.415953
Tolna,Nagydorog,,6326+231,46.627676,18.656350
Tolna,Paks,,Cecei út 27.,46.680360,18.806860
Tolna,Pörböly,,55112+103,46.207873,18.821640
Tolna,Szekszárd,,567+926,46.311822,18.694744

Vas,Káld,,8449+922,47.165803,17.050097
Vas,Kám,,870+686,47.103373,16.871698
Vas,Körmend,,M80,47.027135,16.595430
Vas,Sárvár,,8465+100,47.269588,16.935132
Vas,Sárvár,,84,47.253466,16.970238
Vas,Sitke,,84,47.252780,16.970430
Vas,Szombathely,,87,47.229100,16.655830
Vas,Szombathely,,8675+880,47.210333,16.638731
Vas,Vasszécseny,,8714+039,47.181653,16.747736

Veszprém,Ajkarendek,,881+369,47.419081,17.570762
Veszprém,Badacsonytördemic,,7181 km,46.791905,17.473169
Veszprém,Balatonfüred,,7139+677,46.950926,17.886841
Veszprém,Balatonkenese,,7110+677,47.033020,18.111391
Veszprém,Eplény,,8213+564,47.210658,17.913323
Veszprém,Farkasgyepű,,Petőfi Sándor u. 23.,47.203890,17.630030
Veszprém,Gyulafirátót,,Zirci út 89.,47.148293,17.947455
Veszprém,Hárskút,,Szemere László u. 29.,47.180900,17.807790
Veszprém,Kapolcs,,Kossuth u. 12.,46.953680,17.603710
Veszprém,Királyszentistván,,7202. út,47.109342,17.995579
Veszprém,Litér,,724+255,47.100934,18.011792
Veszprém,Monostorapáti,,Petőfi utca 79.,46.924806,17.552758
Veszprém,Nemesvámos,,Kossuth Lajos utca 321.,47.049316,17.879016
Veszprém,Nemesvita,,844+128,46.836279,17.373422
Veszprém,Nyárád,,8348+736,47.281311,17.351505
Veszprém,Pápa,,Somlai út 33.,47.320540,17.468160
Veszprém,Pápa,,Gróf út 15-23,47.333150,17.474800
Veszprém,Pápa,,8319+656,47.278369,17.523280
Veszprém,Sümeg,,8422+354,46.984008,17.286199
Veszprém,Tapolca,,Keszthelyi út,46.882440,17.419491
Veszprém,Tapolca,,Sümegi út 33.,46.885451,17.428670
Veszprém,Tapolca,,Juhász Gyula utca,46.884854,17.448480
Veszprém,Tapolca,,Május 1. utca,46.884334,17.426472
Veszprém,Tapolca,,József Attila utca,46.887588,17.431614
Veszprém,Tapolca,,Pacsirta utca,46.888706,17.441773
Veszprém,Tótvázsony,,7710+819,47.019185,17.785130
Veszprém,Uzsa,,84,46.907358,17.340507
Veszprém,Várpalota,,Tési út,47.223756,18.150470
Veszprém,Veszprém,,Zirci u. 80-62.,47.148150,17.947220

Zala,Döbröce,,Új u.,46.937470,17.187020
Zala,Kalócfa,,Kossuth Lajos u. 44.,46.757940,16.562050
Zala,Lenti,,7564+604,46.622197,16.525465
Zala,Nagykanizsa,,61190+931,46.447913,17.025635
Zala,Nagykanizsa,,Teleki u. 58.,46.453480,17.003680
Zala,Nova,,7550+154,46.685912,16.681640
Zala,Vonyarcvashegy,,7197+340,46.760544,17.328331
Zala,Zalaapáti,,7510+369,46.726746,17.114232
Zala,Zalabaksa,,8613+955,46.702066,16.549273
Zala,Zalaegerszeg,,Belső Elkerülő u.,46.848360,16.837910
Zala,Zalaegerszeg,,76,46.837530,16.893790
Zala,Zalaegerszeg,,7452+192,46.865168,16.853709
Zala,Zalasárszeg,,7199+739,46.492861,17.079483
Zala,Zalaszentbalázs,,7417+070,46.584433,16.919088
